a-535 (7.726747544771809%)
b-108 (1.559792027729636%)
c-176 (2.541883304448296%)
d-244 (3.5239745811669554%)
e-866 (12.507221259387638%)
f-218 (3.148469093009821%)
g-169 (2.440785673021375%)
h-361 (5.2137492778740615%)
i-530 (7.654534950895436%)
j-20 (0.28885037550548814%)
k-51 (0.7365684575389948%)
l-329 (4.75158867706528%)
m-185 (2.6718659734257653%)
n-464 (6.701328711727325%)
o-581 (8.39110340843443%)
p-96 (1.386481802426343%)
q-6 (0.08665511265164644%)
r-407 (5.878105141536684%)
s-404 (5.834777585210861%)
t-652 (9.416522241478914%)
u-173 (2.4985557481224725%)
v-77 (1.1120739456961295%)
w-150 (2.166377816291161%)
x-5 (0.07221259387637204%)
y-112 (1.6175621028307337%)
z-5 (0.07221259387637204%)
